Read when charge was around 93%


Register 666 raw value: 19000 | 0x4a38
Register 667 raw value: 0 | 0x0
Register 668 raw value: 0 | 0x0
Register 669 raw value: 0 | 0x0
Register 670 raw value: 0 | 0x0
Register 671 raw value: 0 | 0x0
Register 672 raw value: 0 | 0x0
Register 673 raw value: 5180 | 0x143c
Register 674 raw value: 0 | 0x0
Register 675 raw value: 0 | 0x0
Register 676 raw value: 0 | 0x0
Register 677 raw value: 0 | 0x0
Register 678 raw value: 0 | 0x0
Register 679 raw value: 0 | 0x0
Register 680 raw value: 0 | 0x0
Register 681 raw value: 0 | 0x0
Register 682 raw value: 0 | 0x0
Register 683 raw value: 0 | 0x0
Register 684 raw value: 0 | 0x0
Register 685 raw value: 0 | 0x0
Register 686 raw value: 0 | 0x0
Register 687 raw value: 0 | 0x0
Register 688 raw value: 0 | 0x0
Register 689 raw value: 0 | 0x0
Register 690 raw value: 0 | 0x0
Register 691 raw value: 0 | 0x0
Register 692 raw value: 0 | 0x0
Register 693 raw value: 0 | 0x0
Register 694 raw value: 0 | 0x0
Register 695 raw value: 0 | 0x0
Register 696 raw value: 0 | 0x0
Register 697 raw value: 0 | 0x0
Register 698 raw value: 0 | 0x0
Register 699 raw value: 0 | 0x0
Register 700 raw value: 0 | 0x0
Register 701 raw value: 0 | 0x0
Register 702 raw value: 0 | 0x0
Register 703 raw value: 0 | 0x0
Register 704 raw value: 0 | 0x0
Register 705 raw value: 0 | 0x0
Register 706 raw value: 0 | 0x0
Register 707 raw value: 0 | 0x0
Register 708 raw value: 0 | 0x0
Register 709 raw value: 0 | 0x0
Register 710 raw value: 0 | 0x0
Register 711 raw value: 0 | 0x0
Register 712 raw value: 0 | 0x0
Register 713 raw value: 0 | 0x0
Register 714 raw value: 0 | 0x0
Register 715 raw value: 0 | 0x0
Register 716 raw value: 0 | 0x0
Register 717 raw value: 0 | 0x0
Register 718 raw value: 0 | 0x0
Register 719 raw value: 0 | 0x0
Register 720 raw value: 0 | 0x0
Register 721 raw value: 0 | 0x0
Register 722 raw value: 0 | 0x0
Register 723 raw value: 0 | 0x0
Register 724 raw value: 0 | 0x0
Register 725 raw value: 0 | 0x0
Register 726 raw value: 0 | 0x0
Register 727 raw value: 0 | 0x0
Register 728 raw value: 0 | 0x0
Register 729 raw value: 0 | 0x0
Register 730 raw value: 0 | 0x0
Register 731 raw value: 0 | 0x0
Register 732 raw value: 0 | 0x0
Register 733 raw value: 1 | 0x1
Register 734 raw value: 1808 | 0x710
Register 735 raw value: 9 | 0x9
Register 736 raw value: 0 | 0x0
Register 737 raw value: 9 | 0x9
Register 738 raw value: 0 | 0x0
Register 739 raw value: 0 | 0x0
Register 740 raw value: 0 | 0x0
Register 741 raw value: 0 | 0x0
Register 742 raw value: 0 | 0x0
Register 743 raw value: 0 | 0x0
Register 744 raw value: 0 | 0x0
Register 745 raw value: 0 | 0x0
Register 746 raw value: 0 | 0x0
